"GSE16515.GENE.SET","GSE16515.MEAN.ABS.T0","GSE16515.PADOG0","GSE16515.P.MEAN.ABS.T","GSE16515.PVAL"
"hsa04115_p53_signaling_pathway",4.83,3.58,0.004,1e-05
"hsa05412_Arrhythmogenic_right_ventricular_cardiomyopathy",4.64,3.87,1e-05,1e-05
"hsa04520_Adherens_junction",4.35,3.01,1e-05,1e-05
"hsa05230_Central_carbon_metabolism_in_cancer",4.12,2.23,0.01,0.001
"hsa05222_Small_cell_lung_cancer",2.97,0.58,0.009,0.002
"hsa04512_ECM-receptor_interaction",4.58,4.27,0.014,0.009
"hsa04510_Focal_adhesion",4.42,1.84,0.011,0.012
"hsa05418_Fluid_shear_stress_and_atherosclerosis",3.06,0.255,0.022,0.013
"hsa05132_Salmonella_infection",4.5,2.15,0.018,0.013
"hsa05410_Hypertrophic_cardiomyopathy",2.55,1.72,0.026,0.016
"hsa04530_Tight_junction",3.3,2.21,0.016,0.017
"hsa04215_Apoptosis",3.1,1.2,0.029,0.02
"hsa05205_Proteoglycans_in_cancer",3.12,-0.0618,0.029,0.02
"hsa05165_Human_papillomavirus_infection",2.67,-0.191,0.045,0.021
"hsa04151_PI3K-Akt_signaling_pathway",2.85,0.17,0.031,0.021
"hsa04216_Ferroptosis",2.54,2.46,0.036,0.024
"hsa04010_MAPK_signaling_pathway",2.51,-0.23,0.04,0.025
"hsa04218_Cellular_senescence",2.26,-1.09,0.02,0.025
"hsa04970_Salivary_secretion",2.34,-0.302,0.044,0.027
"hsa05414_Dilated_cardiomyopathy",2.44,0.913,0.05,0.029
"hsa04217_Necroptosis",2.74,1.2,0.042,0.029
"hsa05203_Viral_carcinogenesis",2.36,0.00303,0.038,0.031
"hsa00524_Neomycin,_kanamycin_and_gentamicin_biosynthesis",2.75,2.4,0.039,0.033
"hsa04210_Apoptosis",2.93,-0.184,0.035,0.034
"hsa00512_Mucin_type_O-glycan_biosynthesis",3.65,3.88,0.076,0.038
"hsa05100_Bacterial_invasion_of_epithelial_cells",3.31,2.02,0.039,0.04
"hsa01524_Platinum_drug_resistance",2.33,0.287,0.056,0.046
"hsa00030_Pentose_phosphate_pathway",2.48,2.44,0.07,0.047
"hsa05130_Pathogenic_Escherichia_coli_infection",3.08,0.998,0.055,0.047
"hsa05160_Hepatitis_C",2.36,-0.648,0.078,0.049
"hsa05164_Influenza_A",2.68,0.0915,0.092,0.055
"hsa00010_Glycolysis_/_Gluconeogenesis",2.93,2.62,0.096,0.057
"hsa00600_Sphingolipid_metabolism",2.28,2.45,0.085,0.057
"hsa05170_Human_immunodeficiency_virus_1_infection",2.42,-1.82,0.084,0.064
