Terms,Single-Species
hsa00010_Glycolysis_/_Gluconeogenesis,0.21243 
hsa00020_Citrate_cycle_(TCA_cycle),0.64737 
hsa00030_Pentose_phosphate_pathway,0.93448 
hsa00040_Pentose_and_glucuronate_interconversions,0.08671 
hsa00051_Fructose_and_mannose_metabolism,0.84153 
hsa00052_Galactose_metabolism,0.43792 
hsa00053_Ascorbate_and_aldarate_metabolism,0.25226 
hsa00061_Fatty_acid_biosynthesis,0.99835 
hsa00062_Fatty_acid_elongation,0.03194 
hsa00071_Fatty_acid_degradation,0.00059 
hsa00072_Synthesis_and_degradation_of_ketone_bodies,0.30295 
hsa00100_Steroid_biosynthesis,0.65158 
hsa00120_Primary_bile_acid_biosynthesis,0.99316 
hsa00130_Ubiquinone_and_other_terpenoid-quinone_biosynthesis,0.72558 
hsa00140_Steroid_hormone_biosynthesis,0.00000 
hsa00190_Oxidative_phosphorylation,0.98997 
hsa00220_Arginine_biosynthesis,0.65839 
hsa00230_Purine_metabolism,0.00005 
hsa00232_Caffeine_metabolism,0.06882 
hsa00240_Pyrimidine_metabolism,0.94339 
"hsa00250_Alanine,_aspartate_and_glutamate_metabolism",0.15470 
"hsa00260_Glycine,_serine_and_threonine_metabolism",0.00017 
hsa00270_Cysteine_and_methionine_metabolism,0.35464 
"hsa00280_Valine,_leucine_and_isoleucine_degradation",0.00001 
hsa00310_Lysine_degradation,0.96082 
hsa00330_Arginine_and_proline_metabolism,0.00000 
hsa00340_Histidine_metabolism,0.97454 
hsa00350_Tyrosine_metabolism,0.80538 
hsa00360_Phenylalanine_metabolism,0.45635 
hsa00380_Tryptophan_metabolism,0.86300 
"hsa00400_Phenylalanine,_tyrosine_and_tryptophan_biosynthesis",0.40643 
hsa00410_beta-Alanine_metabolism,0.02196 
hsa00430_Taurine_and_hypotaurine_metabolism,0.84582 
hsa00440_Phosphonate_and_phosphinate_metabolism,0.56874 
hsa00450_Selenocompound_metabolism,0.06670 
hsa00471_D-Glutamine_and_D-glutamate_metabolism,0.40044 
hsa00480_Glutathione_metabolism,0.80872 
hsa00500_Starch_and_sucrose_metabolism,0.33599 
hsa00510_N-Glycan_biosynthesis,0.67845 
hsa00511_Other_glycan_degradation,0.35304 
hsa00512_Mucin_type_O-glycan_biosynthesis,0.99516 
hsa00513_Various_types_of_N-glycan_biosynthesis,0.76296 
hsa00514_Other_types_of_O-glycan_biosynthesis,0.00019 
hsa00515_Mannose_type_O-glycan_biosynthesis,0.91550 
hsa00520_Amino_sugar_and_nucleotide_sugar_metabolism,0.00585 
"hsa00524_Neomycin,_kanamycin_and_gentamicin_biosynthesis",0.37584 
hsa00531_Glycosaminoglycan_degradation,0.57256 
hsa00532_Glycosaminoglycan_biosynthesis,0.00093 
hsa00533_Glycosaminoglycan_biosynthesis,0.44115 
hsa00534_Glycosaminoglycan_biosynthesis,0.85892 
hsa00561_Glycerolipid_metabolism,0.00357 
hsa00562_Inositol_phosphate_metabolism,0.00000 
hsa00563_Glycosylphosphatidylinositol_(GPI)-anchor_biosynthesis,0.00199 
hsa00564_Glycerophospholipid_metabolism,0.00004 
hsa00565_Ether_lipid_metabolism,0.99927 
hsa00590_Arachidonic_acid_metabolism,0.29030 
hsa00591_Linoleic_acid_metabolism,0.45577 
hsa00592_alpha-Linolenic_acid_metabolism,0.39054 
hsa00600_Sphingolipid_metabolism,0.41059 
hsa00601_Glycosphingolipid_biosynthesis,0.00027 
hsa00603_Glycosphingolipid_biosynthesis,0.00152 
hsa00604_Glycosphingolipid_biosynthesis,0.00205 
hsa00620_Pyruvate_metabolism,0.55692 
hsa00630_Glyoxylate_and_dicarboxylate_metabolism,0.00014 
hsa00640_Propanoate_metabolism,0.00011 
hsa00650_Butanoate_metabolism,0.03305 
hsa00670_One_carbon_pool_by_folate,0.06718 
hsa00730_Thiamine_metabolism,0.07440 
hsa00740_Riboflavin_metabolism,0.04981 
hsa00750_Vitamin_B6_metabolism,0.41872 
hsa00760_Nicotinate_and_nicotinamide_metabolism,0.00001 
hsa00770_Pantothenate_and_CoA_biosynthesis,0.00026 
hsa00790_Folate_biosynthesis,0.04517 
hsa00830_Retinol_metabolism,0.58007 
hsa00860_Porphyrin_and_chlorophyll_metabolism,0.92840 
hsa00900_Terpenoid_backbone_biosynthesis,0.87564 
hsa00910_Nitrogen_metabolism,0.00028 
