"GSE20153.GENE.SET","GSE20153.MEAN.ABS.T0","GSE20153.PADOG0","GSE20153.P.MEAN.ABS.T","GSE20153.PVAL"
"hsa04390_Hippo_signaling_pathway",3.64,2.86,1e-05,1e-05
"hsa05226_Gastric_cancer",3.85,1.05,0.001,0.003
"hsa05205_Proteoglycans_in_cancer",2.27,-0.912,0.003,0.004
"hsa04310_Wnt_signaling_pathway",3.32,1.62,0.005,0.005
"hsa05219_Bladder_cancer",3.13,0.82,0.005,0.005
"hsa04350_TGF-beta_signaling_pathway",1.97,1.58,0.022,0.007
"hsa04510_Focal_adhesion",2.26,-0.0213,0.006,0.008
"hsa05218_Melanoma",2.71,-0.192,0.009,0.01
"hsa05214_Glioma",2.12,-1.73,0.026,0.012
"hsa04810_Regulation_of_actin_cytoskeleton",2.29,0.496,0.007,0.012
"hsa04966_Collecting_duct_acid_secretion",2.38,2.19,0.029,0.015
"hsa05120_Epithelial_cell_signaling_in_Helicobacter_pylori_infection",2.06,0.217,0.013,0.015
"hsa04915_Estrogen_signaling_pathway",2.26,-1.4,0.01,0.015
"hsa04710_Circadian_rhythm",2.56,2.3,0.022,0.016
"hsa00061_Fatty_acid_biosynthesis",1.62,1.62,0.03,0.018
"hsa04917_Prolactin_signaling_pathway",1.9,-1.13,0.014,0.018
"hsa04512_ECM-receptor_interaction",1.89,1.69,0.022,0.022
"hsa00531_Glycosaminoglycan_degradation",1.95,2.03,0.034,0.024
"hsa05224_Breast_cancer",3.08,0.26,0.013,0.025
"hsa05217_Basal_cell_carcinoma",2.7,1.44,0.018,0.026
"hsa05221_Acute_myeloid_leukemia",2.44,-0.416,0.023,0.027
"hsa04916_Melanogenesis",2.11,-1.35,0.03,0.029
"hsa04064_NF-kappa_B_signaling_pathway",2.26,1.03,0.058,0.032
"hsa00591_Linoleic_acid_metabolism",1.91,1.6,0.055,0.033
"hsa00360_Phenylalanine_metabolism",1.21,1.12,0.083,0.041
"hsa04612_Antigen_processing_and_presentation",2.95,2.23,0.06,0.042
"hsa04933_AGE-RAGE_signaling_pathway_in_diabetic_complications",1.43,-1.72,0.058,0.042
"hsa05323_Rheumatoid_arthritis",2.3,1.13,0.074,0.043
"hsa05225_Hepatocellular_carcinoma",2.14,-0.645,0.032,0.045
"hsa05216_Thyroid_cancer",2.39,0.279,0.03,0.045
"hsa01521_EGFR_tyrosine_kinase_inhibitor_resistance",1.57,-1.63,0.041,0.046
"hsa00190_Oxidative_phosphorylation",4.23,3.62,0.059,0.048
"hsa04721_Synaptic_vesicle_cycle",1.6,1.5,0.08,0.05
"hsa04062_Chemokine_signaling_pathway",2.87,-0.516,0.019,0.05
"hsa05165_Human_papillomavirus_infection",1.76,-1.02,0.049,0.057
"hsa05213_Endometrial_cancer",2,-1.33,0.05,0.06
"hsa02010_ABC_transporters",1.43,1.57,0.086,0.061
"hsa05146_Amoebiasis",1.39,-0.638,0.099,0.08
"hsa05207_Chemical_carcinogenesis",1.84,-1.26,0.076,0.08
"hsa04514_Cell_adhesion_molecules",1.99,1.67,0.096,0.085
"hsa05223_Non-small_cell_lung_cancer",1.87,-1.45,0.067,0.089
"hsa00350_Tyrosine_metabolism",1.03,1,0.146,0.091
"hsa04530_Tight_junction",1.59,0.527,0.098,0.094
"hsa05332_Graft-versus-host_disease",2.26,1.07,0.131,0.095
