Terms,Single-Species
hsa00010_Glycolysis_/_Gluconeogenesis,0.99881 
hsa00020_Citrate_cycle_(TCA_cycle),0.99861 
hsa00030_Pentose_phosphate_pathway,0.99968 
hsa00040_Pentose_and_glucuronate_interconversions,0.99971 
hsa00051_Fructose_and_mannose_metabolism,0.99973 
hsa00052_Galactose_metabolism,0.99866 
hsa00053_Ascorbate_and_aldarate_metabolism,0.99605 
hsa00061_Fatty_acid_biosynthesis,0.99920 
hsa00062_Fatty_acid_elongation,0.99891 
hsa00071_Fatty_acid_degradation,0.99921 
hsa00072_Synthesis_and_degradation_of_ketone_bodies,0.99605 
hsa00100_Steroid_biosynthesis,1.00000 
hsa00120_Primary_bile_acid_biosynthesis,0.99999 
hsa00130_Ubiquinone_and_other_terpenoid-quinone_biosynthesis,0.99606 
hsa00140_Steroid_hormone_biosynthesis,1.00000 
hsa00190_Oxidative_phosphorylation,0.99999 
hsa00220_Arginine_biosynthesis,0.99607 
hsa00230_Purine_metabolism,1.00000 
hsa00232_Caffeine_metabolism,0.99605 
hsa00240_Pyrimidine_metabolism,0.99994 
"hsa00250_Alanine,_aspartate_and_glutamate_metabolism",0.99999 
"hsa00260_Glycine,_serine_and_threonine_metabolism",0.99999 
hsa00270_Cysteine_and_methionine_metabolism,1.00000 
"hsa00280_Valine,_leucine_and_isoleucine_degradation",1.00000 
hsa00310_Lysine_degradation,1.00000 
hsa00330_Arginine_and_proline_metabolism,1.00000 
hsa00340_Histidine_metabolism,0.99993 
hsa00350_Tyrosine_metabolism,1.00000 
hsa00360_Phenylalanine_metabolism,0.99920 
hsa00380_Tryptophan_metabolism,0.99997 
"hsa00400_Phenylalanine,_tyrosine_and_tryptophan_biosynthesis",0.99605 
hsa00410_beta-Alanine_metabolism,0.99605 
hsa00430_Taurine_and_hypotaurine_metabolism,0.99725 
hsa00440_Phosphonate_and_phosphinate_metabolism,0.99605 
hsa00450_Selenocompound_metabolism,0.99991 
hsa00471_D-Glutamine_and_D-glutamate_metabolism,0.99918 
hsa00480_Glutathione_metabolism,0.99999 
hsa00500_Starch_and_sucrose_metabolism,1.00000 
hsa00510_N-Glycan_biosynthesis,1.00000 
hsa00511_Other_glycan_degradation,0.99963 
hsa00512_Mucin_type_O-glycan_biosynthesis,1.00000 
hsa00513_Various_types_of_N-glycan_biosynthesis,0.99978 
hsa00514_Other_types_of_O-glycan_biosynthesis,1.00000 
hsa00515_Mannose_type_O-glycan_biosynthesis,1.00000 
hsa00520_Amino_sugar_and_nucleotide_sugar_metabolism,1.00000 
"hsa00524_Neomycin,_kanamycin_and_gentamicin_biosynthesis",0.99605 
hsa00531_Glycosaminoglycan_degradation,0.99605 
hsa00532_Glycosaminoglycan_biosynthesis,1.00000 
hsa00533_Glycosaminoglycan_biosynthesis,1.00000 
hsa00534_Glycosaminoglycan_biosynthesis,1.00000 
hsa00561_Glycerolipid_metabolism,0.99984 
hsa00562_Inositol_phosphate_metabolism,1.00000 
hsa00563_Glycosylphosphatidylinositol_(GPI)-anchor_biosynthesis,1.00000 
hsa00564_Glycerophospholipid_metabolism,1.00000 
hsa00565_Ether_lipid_metabolism,1.00000 
hsa00590_Arachidonic_acid_metabolism,1.00000 
hsa00591_Linoleic_acid_metabolism,0.99605 
hsa00592_alpha-Linolenic_acid_metabolism,0.99605 
hsa00600_Sphingolipid_metabolism,1.00000 
hsa00601_Glycosphingolipid_biosynthesis,1.00000 
hsa00603_Glycosphingolipid_biosynthesis,0.99919 
hsa00604_Glycosphingolipid_biosynthesis,1.00000 
hsa00620_Pyruvate_metabolism,1.00000 
hsa00630_Glyoxylate_and_dicarboxylate_metabolism,0.99898 
hsa00640_Propanoate_metabolism,0.99979 
hsa00650_Butanoate_metabolism,0.99998 
hsa00670_One_carbon_pool_by_folate,0.99907 
hsa00730_Thiamine_metabolism,0.99861 
hsa00740_Riboflavin_metabolism,0.99606 
hsa00750_Vitamin_B6_metabolism,0.99606 
hsa00760_Nicotinate_and_nicotinamide_metabolism,0.99999 
hsa00770_Pantothenate_and_CoA_biosynthesis,0.99999 
hsa00790_Folate_biosynthesis,0.99999 
hsa00830_Retinol_metabolism,1.00000 
hsa00860_Porphyrin_and_chlorophyll_metabolism,0.99996 
hsa00900_Terpenoid_backbone_biosynthesis,1.00000 
hsa00910_Nitrogen_metabolism,1.00000 
hsa00920_Sulfur_metabolism,1.00000 
hsa00970_Aminoacyl-tRNA_biosynthesis,1.00000 
hsa00980_Metabolism_of_xenobiotics_by_cytochrome_P450,0.99994 
hsa00982_Drug_metabolism,1.00000 
hsa00983_Drug_metabolism,0.99995 
hsa01040_Biosynthesis_of_unsaturated_fatty_acids,0.99607 
hsa01200_Carbon_metabolism,0.99921 
hsa01210_2-Oxocarboxylic_acid_metabolism,0.99605 
hsa01212_Fatty_acid_metabolism,0.99607 
hsa01230_Biosynthesis_of_amino_acids,0.99607 
hsa01240_Biosynthesis_of_cofactors,0.99985 
hsa01521_EGFR_tyrosine_kinase_inhibitor_resistance,0.99971 
hsa01522_Endocrine_resistance,0.99609 
hsa01523_Antifolate_resistance,0.99606 
hsa01524_Platinum_drug_resistance,0.99970 
hsa02010_ABC_transporters,1.00000 
hsa03008_Ribosome_biogenesis_in_eukaryotes,1.00000 
hsa03010_Ribosome,1.00000 
hsa03013_RNA_transport,1.00000 
hsa03015_mRNA_surveillance_pathway,1.00000 
hsa03018_RNA_degradation,1.00000 
hsa03020_RNA_polymerase,0.99958 
hsa03022_Basal_transcription_factors,1.00000 
hsa03030_DNA_replication,0.99981 
hsa03040_Spliceosome,1.00000 
hsa03050_Proteasome,1.00000 
hsa03060_Protein_export,1.00000 
hsa03320_PPAR_signaling_pathway,1.00000 
hsa03410_Base_excision_repair,1.00000 
hsa03420_Nucleotide_excision_repair,0.99958 
hsa03430_Mismatch_repair,0.99984 
hsa03440_Homologous_recombination,1.00000 
hsa03450_Non-homologous_end-joining,0.99996 
hsa03460_Fanconi_anemia_pathway,1.00000 
hsa04010_MAPK_signaling_pathway,1.00000 
hsa04012_ErbB_signaling_pathway,0.98745 
hsa04014_Ras_signaling_pathway,1.00000 
hsa04015_Rap1_signaling_pathway,1.00000 
hsa04020_Calcium_signaling_pathway,1.00000 
hsa04022_cGMP-PKG_signaling_pathway,0.99921 
hsa04024_cAMP_signaling_pathway,0.99999 
hsa04060_Cytokine-cytokine_receptor_interaction,1.00000 
hsa04061_Viral_protein_interaction_with_cytokine_and_cytokine_receptor,0.99605 
hsa04062_Chemokine_signaling_pathway,0.99984 
hsa04064_NF-kappa_B_signaling_pathway,0.99972 
hsa04066_HIF-1_signaling_pathway,0.99914 
hsa04068_FoxO_signaling_pathway,0.99998 
hsa04070_Phosphatidylinositol_signaling_system,1.00000 
hsa04071_Sphingolipid_signaling_pathway,0.99859 
hsa04072_Phospholipase_D_signaling_pathway,0.99605 
hsa04080_Neuroactive_ligand-receptor_interaction,1.00000 
hsa04110_Cell_cycle,1.00000 
hsa04114_Oocyte_meiosis,0.99999 
