"GSE8762.GENE.SET","GSE8762.MEAN.ABS.T0","GSE8762.PADOG0","GSE8762.P.MEAN.ABS.T","GSE8762.PVAL"
"hsa00410_beta-Alanine_metabolism",2.83,2.71,0.003,0.007
"hsa00510_N-Glycan_biosynthesis",2.52,2.68,0.012,0.014
"hsa00640_Propanoate_metabolism",2.25,2.14,0.008,0.019
"hsa00513_Various_types_of_N-glycan_biosynthesis",1.94,2.04,0.017,0.031
"hsa05219_Bladder_cancer",1.63,-0.332,0.033,0.032
"hsa00240_Pyrimidine_metabolism",2.4,2.52,0.028,0.044
"hsa04150_mTOR_signaling_pathway",1.25,-0.7,0.074,0.045
"hsa03013_RNA_transport",4.3,4.58,0.021,0.045
"hsa00900_Terpenoid_backbone_biosynthesis",2.18,2.23,0.041,0.058
"hsa03060_Protein_export",3.28,3.42,0.041,0.059
"hsa04971_Gastric_acid_secretion",0.793,-2.31,0.119,0.074
"hsa00920_Sulfur_metabolism",2.14,2.25,0.046,0.078
"hsa03040_Spliceosome",3.86,4.16,0.047,0.083
"hsa04932_Non-alcoholic_fatty_liver_disease",3.85,1.27,0.045,0.083
"hsa05012_Parkinson_disease",5.31,3.34,0.047,0.087
"hsa03430_Mismatch_repair",1.91,1.94,0.069,0.097
"hsa03450_Non-homologous_end-joining",1.76,1.86,0.057,0.098
"hsa05014_Amyotrophic_lateral_sclerosis",3.94,2.7,0.087,0.102
"hsa04723_Retrograde_endocannabinoid_signaling",1.19,-1.29,0.112,0.114
"hsa04070_Phosphatidylinositol_signaling_system",1.29,-0.189,0.15,0.116
"hsa00630_Glyoxylate_and_dicarboxylate_metabolism",1.42,1.34,0.081,0.121
"hsa00230_Purine_metabolism",1.48,1,0.061,0.122
"hsa03050_Proteasome",3.22,2.98,0.092,0.124
"hsa03410_Base_excision_repair",1.66,1.74,0.094,0.126
"hsa03420_Nucleotide_excision_repair",1.61,1.66,0.079,0.126
"hsa04714_Thermogenesis",3.21,1.35,0.106,0.131
"hsa00071_Fatty_acid_degradation",1.11,0.916,0.099,0.137
"hsa03010_Ribosome",5.48,5.83,0.111,0.139
"hsa04925_Aldosterone_synthesis_and_secretion",0.607,-2.38,0.207,0.14
"hsa00190_Oxidative_phosphorylation",4.36,3.68,0.11,0.141
"hsa04927_Cortisol_synthesis_and_secretion",0.721,-1.82,0.166,0.143
"hsa04611_Platelet_activation",1.48,-1.35,0.154,0.144
"hsa04137_Mitophagy",1.61,0.37,0.074,0.144
"hsa04933_AGE-RAGE_signaling_pathway_in_diabetic_complications",0.501,-2.81,0.245,0.145
"hsa04217_Necroptosis",1.84,0.449,0.096,0.145
"hsa05415_Diabetic_cardiomyopathy",2.94,0.717,0.13,0.148
"hsa01523_Antifolate_resistance",1.89,0.644,0.102,0.155
"hsa05016_Huntington_disease",2.99,1.67,0.155,0.162
"hsa04657_IL-17_signaling_pathway",1.26,-0.733,0.167,0.164
"hsa05020_Prion_disease",3.2,0.867,0.163,0.165
"hsa05022_Pathways_of_neurodegeneration",2.3,-0.267,0.165,0.168
"hsa00563_Glycosylphosphatidylinositol_(GPI)-anchor_biosynthesis",1.24,1.42,0.114,0.168
"hsa03015_mRNA_surveillance_pathway",1.93,1.95,0.126,0.172
"hsa05010_Alzheimer_disease",2.38,-0.384,0.185,0.178
"hsa04141_Protein_processing_in_endoplasmic_reticulum",2.06,1.8,0.117,0.179
"hsa05017_Spinocerebellar_ataxia",1.18,-0.505,0.175,0.183
"hsa00280_Valine,_leucine_and_isoleucine_degradation",1.26,1.16,0.137,0.184
"hsa00750_Vitamin_B6_metabolism",1.13,1.16,0.13,0.188
"hsa00072_Synthesis_and_degradation_of_ketone_bodies",1.32,1.22,0.131,0.196
"hsa05166_Human_T-cell_leukemia_virus_1_infection",0.866,-2.36,0.256,0.199
"hsa04912_GnRH_signaling_pathway",-0.00639,-4.25,0.399,0.2
"hsa00770_Pantothenate_and_CoA_biosynthesis",0.884,0.895,0.145,0.204
"hsa03008_Ribosome_biogenesis_in_eukaryotes",1.82,2.04,0.168,0.205
"hsa00562_Inositol_phosphate_metabolism",0.928,0.325,0.168,0.213
"hsa00533_Glycosaminoglycan_biosynthesis",1.14,1.19,0.147,0.214
"hsa03030_DNA_replication",1.38,1.45,0.145,0.214
"hsa04115_p53_signaling_pathway",0.776,-0.22,0.184,0.223
"hsa00970_Aminoacyl-tRNA_biosynthesis",1.39,1.61,0.164,0.224
"hsa04020_Calcium_signaling_pathway",0.333,-1.75,0.237,0.226
"hsa00500_Starch_and_sucrose_metabolism",0.818,0.792,0.164,0.23
"hsa00330_Arginine_and_proline_metabolism",0.776,0.732,0.148,0.231
"hsa04140_Autophagy",0.533,-1.1,0.331,0.237
"hsa04926_Relaxin_signaling_pathway",-0.0775,-4.21,0.355,0.238
"hsa04625_C-type_lectin_receptor_signaling_pathway",0.404,-3.01,0.329,0.239
"hsa00270_Cysteine_and_methionine_metabolism",0.678,0.718,0.149,0.241
"hsa05142_Chagas_disease",0.463,-3.04,0.303,0.242
"hsa00340_Histidine_metabolism",0.698,0.639,0.176,0.242
"hsa04928_Parathyroid_hormone_synthesis,_secretion_and_action",0.116,-2.73,0.304,0.251
"hsa03460_Fanconi_anemia_pathway",0.994,1.15,0.188,0.254
"hsa03440_Homologous_recombination",0.974,1.06,0.175,0.255
"hsa05110_Vibrio_cholerae_infection",0.988,-0.338,0.189,0.257
"hsa00430_Taurine_and_hypotaurine_metabolism",0.57,0.614,0.176,0.264
"hsa01212_Fatty_acid_metabolism",0.832,0.748,0.174,0.264
"hsa04961_Endocrine_and_other_factor-regulated_calcium_reabsorption",0.484,-1.32,0.175,0.268
"hsa00232_Caffeine_metabolism",0.677,0.64,0.203,0.27
"hsa04122_Sulfur_relay_system",0.637,0.696,0.193,0.27
"hsa05322_Systemic_lupus_erythematosus",1.88,1.43,0.23,0.272
"hsa04146_Peroxisome",0.639,0.75,0.19,0.273
"hsa04976_Bile_secretion",0.497,-0.845,0.218,0.278
"hsa00400_Phenylalanine,_tyrosine_and_tryptophan_biosynthesis",0.345,0.252,0.212,0.278
"hsa05171_Coronavirus_disease",1.28,-0.527,0.275,0.281
"hsa05160_Hepatitis_C",0.183,-2.65,0.402,0.285
"hsa00040_Pentose_and_glucuronate_interconversions",0.175,0.0836,0.236,0.289
"hsa05131_Shigellosis",0.685,-1.8,0.332,0.29
"hsa00100_Steroid_biosynthesis",0.87,1,0.217,0.291
"hsa00360_Phenylalanine_metabolism",0.101,0.0102,0.242,0.298
"hsa03022_Basal_transcription_factors",0.917,1.09,0.23,0.298
"hsa04613_Neutrophil_extracellular_trap_formation",1.04,-0.593,0.328,0.304
"hsa00983_Drug_metabolism",0.678,0.571,0.251,0.304
"hsa00670_One_carbon_pool_by_folate",0.72,0.762,0.22,0.305
"hsa04614_Renin-angiotensin_system",0.452,0.505,0.22,0.305
"hsa04213_Longevity_regulating_pathway",0.000437,-2.46,0.422,0.309
"hsa00650_Butanoate_metabolism",0.483,0.421,0.21,0.31
"hsa03320_PPAR_signaling_pathway",0.466,0.435,0.23,0.311
"hsa00590_Arachidonic_acid_metabolism",0.594,0.466,0.263,0.318
"hsa04934_Cushing_syndrome",-0.17,-2.88,0.408,0.32
"hsa00020_Citrate_cycle_(TCA_cycle)",0.498,0.402,0.271,0.32
"hsa00480_Glutathione_metabolism",1.08,1.05,0.245,0.328
"hsa00730_Thiamine_metabolism",0.462,0.54,0.229,0.329
"hsa04918_Thyroid_hormone_synthesis",-0.0229,-2.69,0.303,0.33
"hsa04610_Complement_and_coagulation_cascades",0.814,0.89,0.249,0.331
"hsa00471_D-Glutamine_and_D-glutamate_metabolism",0.338,0.332,0.255,0.334
