Terms,Single-Species
hsa00010_Glycolysis_/_Gluconeogenesis,0.73582 
hsa00020_Citrate_cycle_(TCA_cycle),0.93801 
hsa00030_Pentose_phosphate_pathway,1.00000 
hsa00040_Pentose_and_glucuronate_interconversions,0.94600 
hsa00051_Fructose_and_mannose_metabolism,0.97196 
hsa00052_Galactose_metabolism,0.88905 
hsa00053_Ascorbate_and_aldarate_metabolism,0.87697 
hsa00061_Fatty_acid_biosynthesis,0.70339 
hsa00062_Fatty_acid_elongation,0.70009 
hsa00071_Fatty_acid_degradation,0.66717 
hsa00072_Synthesis_and_degradation_of_ketone_bodies,0.98560 
hsa00100_Steroid_biosynthesis,0.99999 
hsa00120_Primary_bile_acid_biosynthesis,0.99999 
hsa00130_Ubiquinone_and_other_terpenoid-quinone_biosynthesis,0.87888 
hsa00140_Steroid_hormone_biosynthesis,1.00000 
hsa00190_Oxidative_phosphorylation,0.78668 
hsa00220_Arginine_biosynthesis,0.86056 
hsa00230_Purine_metabolism,1.00000 
hsa00232_Caffeine_metabolism,0.87701 
hsa00240_Pyrimidine_metabolism,0.90732 
"hsa00250_Alanine,_aspartate_and_glutamate_metabolism",0.99999 
"hsa00260_Glycine,_serine_and_threonine_metabolism",0.99966 
hsa00270_Cysteine_and_methionine_metabolism,0.99990 
"hsa00280_Valine,_leucine_and_isoleucine_degradation",0.99999 
hsa00310_Lysine_degradation,1.00000 
hsa00330_Arginine_and_proline_metabolism,1.00000 
hsa00340_Histidine_metabolism,0.95789 
hsa00350_Tyrosine_metabolism,0.99990 
hsa00360_Phenylalanine_metabolism,0.77841 
hsa00380_Tryptophan_metabolism,0.99978 
"hsa00400_Phenylalanine,_tyrosine_and_tryptophan_biosynthesis",0.87702 
hsa00410_beta-Alanine_metabolism,0.87697 
hsa00430_Taurine_and_hypotaurine_metabolism,0.99655 
hsa00440_Phosphonate_and_phosphinate_metabolism,0.87700 
hsa00450_Selenocompound_metabolism,0.99055 
hsa00471_D-Glutamine_and_D-glutamate_metabolism,0.99933 
hsa00480_Glutathione_metabolism,0.99973 
hsa00500_Starch_and_sucrose_metabolism,0.94787 
hsa00510_N-Glycan_biosynthesis,0.99996 
hsa00511_Other_glycan_degradation,0.45194 
hsa00512_Mucin_type_O-glycan_biosynthesis,1.00000 
hsa00513_Various_types_of_N-glycan_biosynthesis,0.75539 
