"GSE19728.GENE.SET","GSE19728.MEAN.ABS.T0","GSE19728.PADOG0","GSE19728.P.MEAN.ABS.T","GSE19728.PVAL"
"hsa04724_Glutamatergic_synapse",5.31,2.63,0.013,0.005
"hsa04070_Phosphatidylinositol_signaling_system",3.79,2.18,0.018,0.008
"hsa05032_Morphine_addiction",4.88,3.13,0.023,0.01
"hsa00062_Fatty_acid_elongation",2.99,3.07,0.052,0.011
"hsa04924_Renin_secretion",3.59,0.79,0.023,0.011
"hsa04540_Gap_junction",4.12,0.651,0.022,0.011
"hsa04921_Oxytocin_signaling_pathway",4.85,1.04,0.011,0.011
"hsa00562_Inositol_phosphate_metabolism",2.79,2.35,0.033,0.012
"hsa04720_Long-term_potentiation",4.2,-0.139,0.022,0.014
"hsa05211_Renal_cell_carcinoma",2.69,0.148,0.041,0.015
"hsa05033_Nicotine_addiction",5.19,4.88,0.021,0.015
"hsa04725_Cholinergic_synapse",3.37,-0.326,0.042,0.019
"hsa04144_Endocytosis",2.98,2.75,0.057,0.02
"hsa04723_Retrograde_endocannabinoid_signaling",5.58,2.73,0.033,0.021
"hsa04660_T_cell_receptor_signaling_pathway",2.36,-1.16,0.038,0.027
"hsa04929_GnRH_secretion",3.1,0.178,0.041,0.031
"hsa04713_Circadian_entrainment",3.71,0.304,0.06,0.037
"hsa04260_Cardiac_muscle_contraction",3.07,2.46,0.077,0.039
"hsa05131_Shigellosis",2.4,-0.0205,0.095,0.041
"hsa04020_Calcium_signaling_pathway",3.78,1.4,0.069,0.042
"hsa04721_Synaptic_vesicle_cycle",4.44,4.41,0.062,0.042
"hsa04114_Oocyte_meiosis",3.28,0.62,0.065,0.044
"hsa04370_VEGF_signaling_pathway",2.48,-1.19,0.042,0.044
"hsa04014_Ras_signaling_pathway",2.86,-0.42,0.05,0.048
"hsa01212_Fatty_acid_metabolism",2.28,2.29,0.175,0.049
"hsa00730_Thiamine_metabolism",1.58,1.67,0.181,0.05
"hsa04728_Dopaminergic_synapse",4.07,0.239,0.06,0.053
"hsa05030_Cocaine_addiction",2.26,0.504,0.095,0.056
"hsa04962_Vasopressin-regulated_water_reabsorption",1.66,0.655,0.155,0.058
"hsa05100_Bacterial_invasion_of_epithelial_cells",2.08,1.25,0.159,0.06
"hsa05231_Choline_metabolism_in_cancer",2.57,-0.339,0.089,0.066
"hsa04218_Cellular_senescence",3.04,-0.26,0.068,0.068
"hsa04520_Adherens_junction",2.14,1.18,0.128,0.074
"hsa00230_Purine_metabolism",1.87,1.57,0.208,0.076
"hsa05022_Pathways_of_neurodegeneration",3.96,1.07,0.116,0.077
"hsa00020_Citrate_cycle_(TCA_cycle)",1.82,1.79,0.209,0.078
"hsa00072_Synthesis_and_degradation_of_ketone_bodies",1.71,1.66,0.178,0.079
"hsa00604_Glycosphingolipid_biosynthesis",1.89,1.99,0.166,0.081
"hsa04727_GABAergic_synapse",3.69,1.82,0.109,0.081
"hsa05132_Salmonella_infection",2.62,0.463,0.111,0.082
"hsa05170_Human_immunodeficiency_virus_1_infection",2.88,-1.25,0.06,0.083
"hsa04911_Insulin_secretion",2.4,-0.0313,0.147,0.085
"hsa05120_Epithelial_cell_signaling_in_Helicobacter_pylori_infection",2.28,0.0831,0.097,0.088
"hsa04919_Thyroid_hormone_signaling_pathway",2.04,-0.59,0.129,0.091
"hsa04024_cAMP_signaling_pathway",2.69,-0.452,0.129,0.092
"hsa04961_Endocrine_and_other_factor-regulated_calcium_reabsorption",1.8,0.184,0.141,0.096
"hsa04658_Th1_and_Th2_cell_differentiation",2.26,-0.164,0.105,0.105
"hsa04722_Neurotrophin_signaling_pathway",2.65,-1.29,0.089,0.105
"hsa00471_D-Glutamine_and_D-glutamate_metabolism",1.55,1.52,0.198,0.106
"hsa05031_Amphetamine_addiction",2.69,-0.305,0.12,0.107
"hsa04910_Insulin_signaling_pathway",2.2,-0.725,0.118,0.107
"hsa04622_RIG-I-like_receptor_signaling_pathway",1.76,-0.241,0.156,0.112
"hsa04012_ErbB_signaling_pathway",2.08,-1.28,0.143,0.116
"hsa04730_Long-term_depression",2.18,-0.645,0.132,0.117
"hsa04726_Serotonergic_synapse",2.28,-0.408,0.101,0.117
"hsa04360_Axon_guidance",2.77,1.41,0.16,0.123
"hsa04666_Fc_gamma_R-mediated_phagocytosis",2.35,0.479,0.159,0.125
"hsa04261_Adrenergic_signaling_in_cardiomyocytes",2.45,-0.559,0.159,0.127
