"GSE32676.GENE.SET","GSE32676.MEAN.ABS.T0","GSE32676.PADOG0","GSE32676.P.MEAN.ABS.T","GSE32676.PVAL"
"hsa04520_Adherens_junction",5.35,4.11,0.004,1e-05
"hsa05130_Pathogenic_Escherichia_coli_infection",4.48,2.31,0.006,0.001
"hsa05144_Malaria",6.35,4.88,0.004,0.001
"hsa05213_Endometrial_cancer",3.46,-0.0312,0.019,0.003
"hsa05212_Pancreatic_cancer",3.46,-0.255,0.016,0.005
"hsa04151_PI3K-Akt_signaling_pathway",4.26,1.33,0.008,0.005
"hsa04115_p53_signaling_pathway",4.41,3.15,0.038,0.006
"hsa04530_Tight_junction",4.23,3.17,0.02,0.008
"hsa05417_Lipid_and_atherosclerosis",3.74,-0.613,0.011,0.008
"hsa00512_Mucin_type_O-glycan_biosynthesis",3.18,3.39,0.047,0.009
"hsa05210_Colorectal_cancer",3.06,-0.859,0.038,0.015
"hsa05222_Small_cell_lung_cancer",3.78,1.03,0.034,0.015
"hsa05205_Proteoglycans_in_cancer",3.97,0.652,0.031,0.015
"hsa05162_Measles",3.7,0.318,0.015,0.015
"hsa04122_Sulfur_relay_system",2.71,2.81,0.067,0.016
"hsa05206_MicroRNAs_in_cancer",4.28,1.91,0.034,0.017
"hsa04512_ECM-receptor_interaction",4.65,4.37,0.073,0.02
"hsa01521_EGFR_tyrosine_kinase_inhibitor_resistance",3.29,-0.325,0.076,0.021
"hsa05221_Acute_myeloid_leukemia",2.91,-0.156,0.048,0.022
"hsa04933_AGE-RAGE_signaling_pathway_in_diabetic_complications",4.5,0.219,0.026,0.022
"hsa00920_Sulfur_metabolism",2.47,2.6,0.085,0.023
"hsa05164_Influenza_A",3.27,0.301,0.039,0.025
"hsa04960_Aldosterone-regulated_sodium_reabsorption",2.51,0.447,0.063,0.026
"hsa04930_Type_II_diabetes_mellitus",2.51,0.454,0.061,0.028
"hsa05143_African_trypanosomiasis",3.28,1.11,0.063,0.029
"hsa05167_Kaposi_sarcoma-associated_herpesvirus_infection",3.52,-1.09,0.02,0.029
"hsa05412_Arrhythmogenic_right_ventricular_cardiomyopathy",2.37,1.87,0.084,0.033
"hsa04625_C-type_lectin_receptor_signaling_pathway",3.9,-0.41,0.012,0.033
"hsa05170_Human_immunodeficiency_virus_1_infection",3.23,-0.813,0.041,0.034
"hsa05418_Fluid_shear_stress_and_atherosclerosis",2.92,0.022,0.079,0.037
"hsa04514_Cell_adhesion_molecules",4.34,4.06,0.085,0.038
"hsa04670_Leukocyte_transendothelial_migration",2.85,1.11,0.075,0.044
"hsa04380_Osteoclast_differentiation",3.89,0.972,0.063,0.044
"hsa04012_ErbB_signaling_pathway",2.94,-0.451,0.102,0.045
"hsa05135_Yersinia_infection",3.97,0.513,0.038,0.048
"hsa00565_Ether_lipid_metabolism",1.82,1.81,0.143,0.049
"hsa05215_Prostate_cancer",2.67,-0.969,0.098,0.05
"hsa05100_Bacterial_invasion_of_epithelial_cells",3,1.52,0.085,0.055
"hsa04068_FoxO_signaling_pathway",2.88,-0.129,0.109,0.061
"hsa00601_Glycosphingolipid_biosynthesis",2.41,2.57,0.152,0.065
"hsa04662_B_cell_receptor_signaling_pathway",3.86,0.738,0.077,0.065
"hsa04970_Salivary_secretion",1.39,-0.898,0.128,0.069
"hsa05165_Human_papillomavirus_infection",2.57,-0.0631,0.173,0.075
"hsa05202_Transcriptional_misregulation_in_cancer",1.82,1.05,0.111,0.076
"hsa04360_Axon_guidance",3.15,1.39,0.11,0.077
"hsa05132_Salmonella_infection",3.45,0.973,0.104,0.077
"hsa04630_JAK-STAT_signaling_pathway",1.73,-0.373,0.062,0.077
"hsa05163_Human_cytomegalovirus_infection",2.79,-2.55,0.053,0.078
"hsa04660_T_cell_receptor_signaling_pathway",3.14,-0.145,0.128,0.088
"hsa05160_Hepatitis_C",2.03,-1.09,0.109,0.09
"hsa04390_Hippo_signaling_pathway",2.2,1.27,0.158,0.091
"hsa00513_Various_types_of_N-glycan_biosynthesis",2.22,2.36,0.216,0.092
"hsa04923_Regulation_of_lipolysis_in_adipocytes",1.86,-0.3,0.204,0.093
"hsa04810_Regulation_of_actin_cytoskeleton",2.04,0.353,0.144,0.099
"hsa04510_Focal_adhesion",3.39,0.74,0.142,0.099
"hsa05146_Amoebiasis",3.2,0.479,0.125,0.107
"hsa04062_Chemokine_signaling_pathway",3.08,-0.0772,0.152,0.11
"hsa05142_Chagas_disease",2.61,-1.21,0.116,0.113
"hsa05166_Human_T-cell_leukemia_virus_1_infection",3.19,-0.245,0.149,0.117
"hsa04920_Adipocytokine_signaling_pathway",1.53,-0.0123,0.248,0.119
"hsa04917_Prolactin_signaling_pathway",2.25,-1.13,0.123,0.121
"hsa04640_Hematopoietic_cell_lineage",3.6,2.59,0.162,0.125
"hsa04015_Rap1_signaling_pathway",2.23,-0.795,0.191,0.131
"hsa05216_Thyroid_cancer",1.87,-0.119,0.183,0.137
"hsa04217_Necroptosis",1.68,0.331,0.177,0.138
"hsa05131_Shigellosis",2.29,-0.667,0.129,0.14
"hsa04066_HIF-1_signaling_pathway",2.43,-0.249,0.152,0.141
"hsa04218_Cellular_senescence",2.86,-0.616,0.126,0.142
"hsa04978_Mineral_absorption",1.65,1.63,0.241,0.143
"hsa05171_Coronavirus_disease",3.17,0.981,0.158,0.145
"hsa05225_Hepatocellular_carcinoma",2.09,-0.682,0.246,0.149
"hsa00790_Folate_biosynthesis",1.52,1.63,0.322,0.157
"hsa00270_Cysteine_and_methionine_metabolism",1.21,1.29,0.287,0.161
"hsa05235_PD-L1_expression_and_PD-1_checkpoint_pathway_in_cancer",2.43,-0.886,0.2,0.162
"hsa04621_NOD-like_receptor_signaling_pathway",1.79,-0.686,0.132,0.163
"hsa00040_Pentose_and_glucuronate_interconversions",1.67,1.52,0.253,0.164
"hsa04061_Viral_protein_interaction_with_cytokine_and_cytokine_receptor",2.17,1.69,0.217,0.164
"hsa04931_Insulin_resistance",2.31,-0.211,0.184,0.164
"hsa00232_Caffeine_metabolism",1.36,1.35,0.295,0.169
"hsa05230_Central_carbon_metabolism_in_cancer",1.71,-0.51,0.187,0.173
"hsa04650_Natural_killer_cell_mediated_cytotoxicity",1.11,-1.3,0.181,0.174
"hsa04710_Circadian_rhythm",1.43,1.32,0.357,0.177
"hsa04910_Insulin_signaling_pathway",1.6,-0.954,0.325,0.177
"hsa05416_Viral_myocarditis",2.25,0.767,0.199,0.179
"hsa00061_Fatty_acid_biosynthesis",1,0.951,0.27,0.181
"hsa05340_Primary_immunodeficiency",1.93,1.82,0.248,0.185
"hsa04659_Th17_cell_differentiation",2.35,-0.325,0.193,0.189
"hsa04210_Apoptosis",1.96,-1.11,0.174,0.199
"hsa05219_Bladder_cancer",1.78,-0.544,0.214,0.2
"hsa04918_Thyroid_hormone_synthesis",1.22,-1.06,0.296,0.202
"hsa04060_Cytokine-cytokine_receptor_interaction",0.561,0.00278,0.193,0.202
"hsa05223_Non-small_cell_lung_cancer",2.11,-1.2,0.255,0.204
"hsa04611_Platelet_activation",1.3,-1.5,0.265,0.206
"hsa05161_Hepatitis_B",1.75,-2.4,0.184,0.212
"hsa00051_Fructose_and_mannose_metabolism",1.43,1.38,0.363,0.219
"hsa00750_Vitamin_B6_metabolism",1.2,1.23,0.343,0.221
"hsa05410_Hypertrophic_cardiomyopathy",0.75,-0.147,0.24,0.227
"hsa00360_Phenylalanine_metabolism",0.727,0.676,0.344,0.229
"hsa04610_Complement_and_coagulation_cascades",0.927,0.996,0.303,0.23
"hsa00830_Retinol_metabolism",1.35,1.31,0.317,0.231
"hsa05169_Epstein-Barr_virus_infection",2.17,-1.08,0.228,0.243
"hsa05134_Legionellosis",2.15,0.393,0.229,0.256
"hsa04216_Ferroptosis",1.23,1.22,0.418,0.258
"hsa00860_Porphyrin_and_chlorophyll_metabolism",1.17,1.1,0.367,0.26
"hsa05133_Pertussis",2.11,-0.797,0.269,0.26
"hsa04620_Toll-like_receptor_signaling_pathway",1.66,-1.84,0.178,0.269
"hsa04010_MAPK_signaling_pathway",1.38,-1.13,0.36,0.27
"hsa00524_Neomycin,_kanamycin_and_gentamicin_biosynthesis",0.64,0.45,0.341,0.272
"hsa04666_Fc_gamma_R-mediated_phagocytosis",1.83,-0.12,0.324,0.279
"hsa03460_Fanconi_anemia_pathway",1.51,1.69,0.394,0.282
"hsa00514_Other_types_of_O-glycan_biosynthesis",1.2,1.37,0.443,0.287
"hsa04658_Th1_and_Th2_cell_differentiation",1.53,-0.59,0.319,0.289
"hsa05152_Tuberculosis",1.61,-1.36,0.276,0.289
"hsa05211_Renal_cell_carcinoma",1.9,-0.804,0.306,0.293
"hsa04310_Wnt_signaling_pathway",1.45,-0.406,0.293,0.293
"hsa01230_Biosynthesis_of_amino_acids",0.925,0.902,0.43,0.299
"hsa04925_Aldosterone_synthesis_and_secretion",0.799,-1.95,0.353,0.31
"hsa04370_VEGF_signaling_pathway",1.56,-1.99,0.208,0.31
"hsa00480_Glutathione_metabolism",1.19,1.19,0.484,0.315
"hsa04146_Peroxisome",1.31,1.44,0.447,0.317
"hsa04014_Ras_signaling_pathway",1.36,-1.41,0.364,0.32
"hsa04613_Neutrophil_extracellular_trap_formation",0.799,-1.27,0.288,0.321
"hsa00564_Glycerophospholipid_metabolism",0.582,0.661,0.439,0.322
"hsa05220_Chronic_myeloid_leukemia",1.81,-1.6,0.33,0.323
"hsa04330_Notch_signaling_pathway",1.02,1.01,0.47,0.329
"hsa04215_Apoptosis",1.34,-0.0707,0.395,0.331
"hsa01523_Antifolate_resistance",1.9,0.314,0.277,0.331
"hsa04935_Growth_hormone_synthesis,_secretion_and_action",1.15,-3.09,0.317,0.332
"hsa00140_Steroid_hormone_biosynthesis",-0.172,-0.205,0.342,0.335
"hsa04668_TNF_signaling_pathway",2.01,-1.15,0.334,0.339
"hsa05217_Basal_cell_carcinoma",0.634,-0.328,0.375,0.343
"hsa05320_Autoimmune_thyroid_disease",-0.323,-1.13,0.344,0.351
"hsa05140_Leishmaniasis",1.51,-0.866,0.362,0.355
"hsa04392_Hippo_signaling_pathway",0.926,0.981,0.465,0.358
"hsa05414_Dilated_cardiomyopathy",0.0315,-1.19,0.411,0.359
"hsa05150_Staphylococcus_aureus_infection",0.109,-0.168,0.376,0.362
"hsa04071_Sphingolipid_signaling_pathway",1.66,-1.32,0.416,0.364
"hsa05226_Gastric_cancer",1.2,-1.54,0.344,0.368
"hsa05322_Systemic_lupus_erythematosus",-0.236,-0.581,0.379,0.376
"hsa01524_Platinum_drug_resistance",1.6,-0.555,0.367,0.377
"hsa05145_Toxoplasmosis",1.33,-1.25,0.446,0.379
"hsa05330_Allograft_rejection",0.414,-0.49,0.407,0.379
"hsa05321_Inflammatory_bowel_disease",1.06,-0.796,0.307,0.386
"hsa03010_Ribosome",1.2,1.5,0.452,0.394
"hsa04672_Intestinal_immune_network_for_IgA_production",0.998,0.123,0.392,0.394
"hsa05203_Viral_carcinogenesis",1.25,-1.16,0.354,0.395
"hsa00590_Arachidonic_acid_metabolism",0.508,0.481,0.51,0.403
"hsa00240_Pyrimidine_metabolism",0.792,0.938,0.513,0.406
"hsa04940_Type_I_diabetes_mellitus",0.906,-0.277,0.409,0.407
"hsa00520_Amino_sugar_and_nucleotide_sugar_metabolism",0.792,0.876,0.54,0.411
"hsa00220_Arginine_biosynthesis",0.539,0.459,0.499,0.416
"hsa05224_Breast_cancer",0.952,-1.77,0.352,0.419
"hsa04022_cGMP-PKG_signaling_pathway",0.306,-2.38,0.391,0.421
"hsa05332_Graft-versus-host_disease",0.736,-0.803,0.349,0.424
"hsa05110_Vibrio_cholerae_infection",0.642,-0.0784,0.57,0.426
"hsa00980_Metabolism_of_xenobiotics_by_cytochrome_P450",0.364,0.18,0.48,0.43
"hsa04110_Cell_cycle",0.98,0.151,0.448,0.444
"hsa04657_IL-17_signaling_pathway",1.12,-1.17,0.359,0.448
"hsa04932_Non-alcoholic_fatty_liver_disease",1.51,-1.27,0.399,0.451
"hsa04973_Carbohydrate_digestion_and_absorption",0.975,-1.03,0.393,0.451
"hsa00510_N-Glycan_biosynthesis",0.872,1.04,0.561,0.452
"hsa04916_Melanogenesis",0.493,-2.75,0.418,0.455
"hsa04137_Mitophagy",1.12,0.0428,0.53,0.456
"hsa00072_Synthesis_and_degradation_of_ketone_bodies",0.602,0.583,0.561,0.462
"hsa04550_Signaling_pathways_regulating_pluripotency_of_stem_cells",0.666,-1.31,0.36,0.463
"hsa04064_NF-kappa_B_signaling_pathway",1.27,-0.42,0.446,0.467
"hsa04922_Glucagon_signaling_pathway",0.609,-1.66,0.475,0.469
"hsa04972_Pancreatic_secretion",0.483,-1.37,0.424,0.47
