"GSE19188.GENE.SET","GSE19188.MEAN.ABS.T0","GSE19188.PADOG0","GSE19188.P.MEAN.ABS.T","GSE19188.PVAL"
"hsa04914_Progesterone-mediated_oocyte_maturation",2.7,0.485,0.016,0.006
"hsa03460_Fanconi_anemia_pathway",4.9,5.08,0.008,0.009
"hsa04114_Oocyte_meiosis",2.72,0.806,0.026,0.013
"hsa04110_Cell_cycle",6.24,5.69,0.013,0.014
"hsa04933_AGE-RAGE_signaling_pathway_in_diabetic_complications",1.73,-1.06,0.086,0.016
"hsa05206_MicroRNAs_in_cancer",2.7,0.912,0.034,0.016
"hsa05166_Human_T-cell_leukemia_virus_1_infection",2.86,-0.0468,0.034,0.021
"hsa04613_Neutrophil_extracellular_trap_formation",4.02,2.41,0.026,0.021
"hsa05144_Malaria",3.45,2.5,0.018,0.027
"hsa04270_Vascular_smooth_muscle_contraction",2.49,-0.0431,0.05,0.029
"hsa03030_DNA_replication",5.23,5.35,0.039,0.037
"hsa00360_Phenylalanine_metabolism",2.15,2,0.032,0.037
"hsa00590_Arachidonic_acid_metabolism",2.42,2.25,0.043,0.04
"hsa05322_Systemic_lupus_erythematosus",4.01,3.6,0.043,0.047
"hsa00250_Alanine,_aspartate_and_glutamate_metabolism",1.88,1.89,0.052,0.057
"hsa03440_Homologous_recombination",3.14,3.25,0.053,0.058
"hsa00230_Purine_metabolism",2.21,1.69,0.044,0.058
"hsa03430_Mismatch_repair",2.96,3,0.064,0.063
"hsa04924_Renin_secretion",1.36,-0.724,0.115,0.064
"hsa04923_Regulation_of_lipolysis_in_adipocytes",1.08,-1,0.147,0.067
"hsa04926_Relaxin_signaling_pathway",0.696,-2.74,0.252,0.07
"hsa05203_Viral_carcinogenesis",1.57,-0.126,0.119,0.077
"hsa04668_TNF_signaling_pathway",1.94,-0.593,0.124,0.08
"hsa04015_Rap1_signaling_pathway",0.869,-1.81,0.203,0.081
"hsa04218_Cellular_senescence",1.49,-1.16,0.12,0.081
"hsa01230_Biosynthesis_of_amino_acids",2.15,2.08,0.072,0.081
"hsa05412_Arrhythmogenic_right_ventricular_cardiomyopathy",1.83,1.32,0.078,0.083
"hsa04964_Proximal_tubule_bicarbonate_reclamation",1.38,1.18,0.1,0.104
"hsa04610_Complement_and_coagulation_cascades",2.45,2.52,0.086,0.109
"hsa01523_Antifolate_resistance",1.33,0.486,0.13,0.113
"hsa04115_p53_signaling_pathway",1.54,0.742,0.13,0.115
"hsa00750_Vitamin_B6_metabolism",1.43,1.4,0.079,0.115
"hsa00350_Tyrosine_metabolism",1.62,1.5,0.094,0.12
"hsa04520_Adherens_junction",0.972,0.322,0.159,0.121
"hsa00730_Thiamine_metabolism",1.48,1.55,0.098,0.122
"hsa04510_Focal_adhesion",1.05,-0.712,0.203,0.125
"hsa00240_Pyrimidine_metabolism",1.69,1.81,0.107,0.127
"hsa00051_Fructose_and_mannose_metabolism",1.5,1.45,0.121,0.13
"hsa05034_Alcoholism",1.48,0.0824,0.199,0.131
