Terms,Single-Species
hsa00010_Glycolysis_/_Gluconeogenesis,0.21162 
hsa00020_Citrate_cycle_(TCA_cycle),0.93501 
hsa00030_Pentose_phosphate_pathway,1.00000 
hsa00040_Pentose_and_glucuronate_interconversions,1.00000 
hsa00051_Fructose_and_mannose_metabolism,0.99515 
hsa00052_Galactose_metabolism,0.82699 
hsa00053_Ascorbate_and_aldarate_metabolism,0.83387 
hsa00061_Fatty_acid_biosynthesis,0.93997 
hsa00062_Fatty_acid_elongation,0.60802 
hsa00071_Fatty_acid_degradation,0.99995 
hsa00072_Synthesis_and_degradation_of_ketone_bodies,0.83398 
hsa00100_Steroid_biosynthesis,1.00000 
hsa00120_Primary_bile_acid_biosynthesis,0.99999 
hsa00130_Ubiquinone_and_other_terpenoid-quinone_biosynthesis,0.83392 
hsa00140_Steroid_hormone_biosynthesis,1.00000 
hsa00190_Oxidative_phosphorylation,1.00000 
hsa00220_Arginine_biosynthesis,0.90165 
hsa00230_Purine_metabolism,1.00000 
hsa00232_Caffeine_metabolism,0.83394 
hsa00240_Pyrimidine_metabolism,0.99743 
"hsa00250_Alanine,_aspartate_and_glutamate_metabolism",1.00000 
"hsa00260_Glycine,_serine_and_threonine_metabolism",0.34417 
hsa00270_Cysteine_and_methionine_metabolism,1.00000 
"hsa00280_Valine,_leucine_and_isoleucine_degradation",1.00000 
hsa00310_Lysine_degradation,1.00000 
hsa00330_Arginine_and_proline_metabolism,1.00000 
hsa00340_Histidine_metabolism,1.00000 
hsa00350_Tyrosine_metabolism,1.00000 
hsa00360_Phenylalanine_metabolism,0.78537 
hsa00380_Tryptophan_metabolism,0.44530 
"hsa00400_Phenylalanine,_tyrosine_and_tryptophan_biosynthesis",0.83397 
hsa00410_beta-Alanine_metabolism,0.83953 
hsa00430_Taurine_and_hypotaurine_metabolism,0.04189 
hsa00440_Phosphonate_and_phosphinate_metabolism,0.83398 
hsa00450_Selenocompound_metabolism,1.00000 
hsa00471_D-Glutamine_and_D-glutamate_metabolism,0.74140 
hsa00480_Glutathione_metabolism,1.00000 
hsa00500_Starch_and_sucrose_metabolism,1.00000 
hsa00510_N-Glycan_biosynthesis,1.00000 
hsa00511_Other_glycan_degradation,0.01362 
hsa00512_Mucin_type_O-glycan_biosynthesis,1.00000 
hsa00513_Various_types_of_N-glycan_biosynthesis,0.77932 
hsa00514_Other_types_of_O-glycan_biosynthesis,0.99834 
hsa00515_Mannose_type_O-glycan_biosynthesis,0.99976 
hsa00520_Amino_sugar_and_nucleotide_sugar_metabolism,1.00000 
"hsa00524_Neomycin,_kanamycin_and_gentamicin_biosynthesis",0.83400 
hsa00531_Glycosaminoglycan_degradation,0.83400 
hsa00532_Glycosaminoglycan_biosynthesis,1.00000 
hsa00533_Glycosaminoglycan_biosynthesis,0.00407 
hsa00534_Glycosaminoglycan_biosynthesis,1.00000 
hsa00561_Glycerolipid_metabolism,0.98332 
hsa00562_Inositol_phosphate_metabolism,0.99992 
hsa00563_Glycosylphosphatidylinositol_(GPI)-anchor_biosynthesis,1.00000 
hsa00564_Glycerophospholipid_metabolism,1.00000 
hsa00565_Ether_lipid_metabolism,1.00000 
hsa00590_Arachidonic_acid_metabolism,1.00000 
hsa00591_Linoleic_acid_metabolism,0.83400 
hsa00592_alpha-Linolenic_acid_metabolism,0.83400 
hsa00600_Sphingolipid_metabolism,1.00000 
hsa00601_Glycosphingolipid_biosynthesis,1.00000 
hsa00603_Glycosphingolipid_biosynthesis,0.99698 
hsa00604_Glycosphingolipid_biosynthesis,1.00000 
hsa00620_Pyruvate_metabolism,1.00000 
hsa00630_Glyoxylate_and_dicarboxylate_metabolism,0.00165 
hsa00640_Propanoate_metabolism,1.00000 
hsa00650_Butanoate_metabolism,0.99984 
hsa00670_One_carbon_pool_by_folate,0.95142 
hsa00730_Thiamine_metabolism,0.00429 
hsa00740_Riboflavin_metabolism,0.83400 
hsa00750_Vitamin_B6_metabolism,0.83400 
hsa00760_Nicotinate_and_nicotinamide_metabolism,1.00000 
hsa00770_Pantothenate_and_CoA_biosynthesis,0.96643 
hsa00790_Folate_biosynthesis,1.00000 
hsa00830_Retinol_metabolism,1.00000 
hsa00860_Porphyrin_and_chlorophyll_metabolism,1.00000 
hsa00900_Terpenoid_backbone_biosynthesis,1.00000 
hsa00910_Nitrogen_metabolism,1.00000 
hsa00920_Sulfur_metabolism,1.00000 
hsa00970_Aminoacyl-tRNA_biosynthesis,1.00000 
hsa00980_Metabolism_of_xenobiotics_by_cytochrome_P450,0.99999 
hsa00982_Drug_metabolism,1.00000 
hsa00983_Drug_metabolism,1.00000 
hsa01040_Biosynthesis_of_unsaturated_fatty_acids,0.94914 
hsa01200_Carbon_metabolism,0.07548 
hsa01210_2-Oxocarboxylic_acid_metabolism,0.84974 
hsa01212_Fatty_acid_metabolism,0.88196 
hsa01230_Biosynthesis_of_amino_acids,0.56017 
hsa01240_Biosynthesis_of_cofactors,0.99999 
hsa01521_EGFR_tyrosine_kinase_inhibitor_resistance,0.99993 
hsa01522_Endocrine_resistance,0.81198 
hsa01523_Antifolate_resistance,0.81490 
hsa01524_Platinum_drug_resistance,0.98598 
hsa02010_ABC_transporters,1.00000 
hsa03008_Ribosome_biogenesis_in_eukaryotes,0.57683 
hsa03010_Ribosome,1.00000 
hsa03013_RNA_transport,1.00000 
hsa03015_mRNA_surveillance_pathway,1.00000 
hsa03018_RNA_degradation,1.00000 
hsa03020_RNA_polymerase,0.61882 
hsa03022_Basal_transcription_factors,0.84758 
hsa03030_DNA_replication,0.02719 
hsa03040_Spliceosome,0.25133 
hsa03050_Proteasome,0.95543 
hsa03060_Protein_export,1.00000 
hsa03320_PPAR_signaling_pathway,1.00000 
hsa03410_Base_excision_repair,0.03904 
hsa03420_Nucleotide_excision_repair,0.01213 
hsa03430_Mismatch_repair,0.17880 
hsa03440_Homologous_recombination,0.00841 
hsa03450_Non-homologous_end-joining,0.99963 
hsa03460_Fanconi_anemia_pathway,0.00000 
hsa04010_MAPK_signaling_pathway,1.00000 
hsa04012_ErbB_signaling_pathway,0.59878 
hsa04014_Ras_signaling_pathway,1.00000 
hsa04015_Rap1_signaling_pathway,1.00000 
hsa04020_Calcium_signaling_pathway,0.96483 
hsa04022_cGMP-PKG_signaling_pathway,0.98114 
hsa04024_cAMP_signaling_pathway,0.99993 
hsa04060_Cytokine-cytokine_receptor_interaction,1.00000 
hsa04061_Viral_protein_interaction_with_cytokine_and_cytokine_receptor,0.82473 
hsa04062_Chemokine_signaling_pathway,0.99887 
hsa04064_NF-kappa_B_signaling_pathway,0.99950 
hsa04066_HIF-1_signaling_pathway,0.99980 
hsa04068_FoxO_signaling_pathway,0.99616 
hsa04070_Phosphatidylinositol_signaling_system,1.00000 
hsa04071_Sphingolipid_signaling_pathway,0.30978 
hsa04072_Phospholipase_D_signaling_pathway,0.82405 
hsa04080_Neuroactive_ligand-receptor_interaction,1.00000 
hsa04110_Cell_cycle,1.00000 
hsa04114_Oocyte_meiosis,0.99710 
hsa04115_p53_signaling_pathway,1.00000 
hsa04120_Ubiquitin_mediated_proteolysis,1.00000 
hsa04122_Sulfur_relay_system,0.96528 
hsa04130_SNARE_interactions_in_vesicular_transport,1.00000 
hsa04136_Autophagy,0.82468 
hsa04137_Mitophagy,1.00000 
hsa04140_Autophagy,1.00000 
hsa04141_Protein_processing_in_endoplasmic_reticulum,1.00000 
hsa04142_Lysosome,1.00000 
hsa04144_Endocytosis,1.00000 
hsa04145_Phagosome,1.00000 
hsa04146_Peroxisome,1.00000 
hsa04150_mTOR_signaling_pathway,1.00000 
hsa04151_PI3K-Akt_signaling_pathway,1.00000 
hsa04152_AMPK_signaling_pathway,1.00000 
hsa04210_Apoptosis,1.00000 
hsa04211_Longevity_regulating_pathway,0.84861 
hsa04213_Longevity_regulating_pathway,0.15564 
hsa04215_Apoptosis,0.99729 
hsa04216_Ferroptosis,0.99999 
hsa04217_Necroptosis,0.00974 
hsa04218_Cellular_senescence,0.99993 
hsa04260_Cardiac_muscle_contraction,0.81932 
hsa04261_Adrenergic_signaling_in_cardiomyocytes,1.00000 
hsa04270_Vascular_smooth_muscle_contraction,1.00000 
hsa04310_Wnt_signaling_pathway,1.00000 
hsa04330_Notch_signaling_pathway,1.00000 
hsa04340_Hedgehog_signaling_pathway,1.00000 
hsa04350_TGF-beta_signaling_pathway,1.00000 
hsa04360_Axon_guidance,1.00000 
hsa04370_VEGF_signaling_pathway,0.99319 
hsa04371_Apelin_signaling_pathway,1.00000 
hsa04380_Osteoclast_differentiation,1.00000 
hsa04390_Hippo_signaling_pathway,0.00000 
hsa04392_Hippo_signaling_pathway,1.00000 
hsa04510_Focal_adhesion,1.00000 
hsa04512_ECM-receptor_interaction,1.00000 
hsa04514_Cell_adhesion_molecules,1.00000 
hsa04520_Adherens_junction,1.00000 
hsa04530_Tight_junction,1.00000 
hsa04540_Gap_junction,0.90171 
hsa04550_Signaling_pathways_regulating_pluripotency_of_stem_cells,1.00000 
hsa04610_Complement_and_coagulation_cascades,1.00000 
hsa04611_Platelet_activation,0.99906 
hsa04612_Antigen_processing_and_presentation,0.52581 
