"GSE4107.GENE.SET","GSE4107.MEAN.ABS.T0","GSE4107.PADOG0","GSE4107.P.MEAN.ABS.T","GSE4107.PVAL"
"hsa04933_AGE-RAGE_signaling_pathway_in_diabetic_complications",5.21,1.11,0.01,1e-05
"hsa00071_Fatty_acid_degradation",7.06,6.82,0.004,1e-05
"hsa00640_Propanoate_metabolism",6.98,6.9,1e-05,1e-05
"hsa01212_Fatty_acid_metabolism",6.84,6.82,0.018,0.002
"hsa00650_Butanoate_metabolism",4.42,4.37,0.018,0.002
"hsa00280_Valine,_leucine_and_isoleucine_degradation",9.28,9.22,0.003,0.002
"hsa04926_Relaxin_signaling_pathway",4.37,-0.909,0.016,0.003
"hsa04371_Apelin_signaling_pathway",3.43,0.179,0.058,0.01
"hsa04010_MAPK_signaling_pathway",4.36,1.03,0.034,0.01
"hsa05418_Fluid_shear_stress_and_atherosclerosis",3.94,0.581,0.027,0.01
"hsa04146_Peroxisome",5,5.22,0.028,0.012
"hsa05205_Proteoglycans_in_cancer",4.15,0.913,0.062,0.014
"hsa00410_beta-Alanine_metabolism",4.17,4,0.028,0.014
"hsa00062_Fatty_acid_elongation",3.97,4.05,0.053,0.021
"hsa04912_GnRH_signaling_pathway",2.32,-2.45,0.17,0.029
"hsa01240_Biosynthesis_of_cofactors",3.58,3.7,0.092,0.04
"hsa04520_Adherens_junction",3.9,2.77,0.083,0.04
"hsa01040_Biosynthesis_of_unsaturated_fatty_acids",4.1,4.17,0.078,0.04
"hsa00860_Porphyrin_and_chlorophyll_metabolism",3.38,3.27,0.074,0.041
"hsa00072_Synthesis_and_degradation_of_ketone_bodies",3.13,3.09,0.065,0.041
"hsa05130_Pathogenic_Escherichia_coli_infection",4.42,1.82,0.052,0.046
"hsa04928_Parathyroid_hormone_synthesis,_secretion_and_action",2.88,-0.685,0.074,0.047
"hsa00053_Ascorbate_and_aldarate_metabolism",3.89,3.5,0.09,0.052
"hsa00770_Pantothenate_and_CoA_biosynthesis",2.97,2.99,0.084,0.055
"hsa04915_Estrogen_signaling_pathway",2.52,-2.14,0.083,0.055
"hsa04510_Focal_adhesion",4.07,1.52,0.114,0.057
"hsa03320_PPAR_signaling_pathway",3.84,3.81,0.086,0.059
"hsa04932_Non-alcoholic_fatty_liver_disease",6.4,3.07,0.068,0.059
"hsa05415_Diabetic_cardiomyopathy",6.43,3.91,0.085,0.06
"hsa05133_Pertussis",4.03,0.177,0.039,0.066
"hsa00982_Drug_metabolism",3.43,3.14,0.097,0.069
"hsa01522_Endocrine_resistance",2.57,-2.5,0.115,0.07
"hsa04360_Axon_guidance",3.11,1.76,0.133,0.073
"hsa00830_Retinol_metabolism",3.35,3.28,0.109,0.075
"hsa04923_Regulation_of_lipolysis_in_adipocytes",2.45,-0.3,0.153,0.076
"hsa05135_Yersinia_infection",3.38,-0.398,0.084,0.082
"hsa00040_Pentose_and_glucuronate_interconversions",3.8,3.6,0.123,0.084
"hsa04713_Circadian_entrainment",2.51,-1.37,0.144,0.089
"hsa01200_Carbon_metabolism",4.36,4.23,0.124,0.094
"hsa04540_Gap_junction",2.21,-1.29,0.225,0.1
"hsa05020_Prion_disease",5.41,2.76,0.133,0.103
"hsa00020_Citrate_cycle_(TCA_cycle)",4.6,4.47,0.131,0.108
"hsa00380_Tryptophan_metabolism",2.95,2.72,0.121,0.108
"hsa05132_Salmonella_infection",3.64,0.88,0.126,0.112
"hsa05207_Chemical_carcinogenesis",2.31,-1.52,0.181,0.118
"hsa05012_Parkinson_disease",5.19,3.03,0.159,0.124
"hsa04024_cAMP_signaling_pathway",2.53,-1.18,0.146,0.124
"hsa00920_Sulfur_metabolism",3.55,3.73,0.175,0.127
"hsa04725_Cholinergic_synapse",2.17,-2.25,0.185,0.128
"hsa00620_Pyruvate_metabolism",2.79,2.61,0.153,0.128
"hsa04668_TNF_signaling_pathway",3.12,-0.71,0.125,0.135
"hsa04611_Platelet_activation",2.16,-1.06,0.229,0.138
