"GSE4183.GENE.SET","GSE4183.MEAN.ABS.T0","GSE4183.PADOG0","GSE4183.P.MEAN.ABS.T","GSE4183.PVAL"
"hsa00071_Fatty_acid_degradation",5.98,5.73,0.001,0.001
"hsa01212_Fatty_acid_metabolism",4.88,4.79,0.007,0.005
"hsa05230_Central_carbon_metabolism_in_cancer",2.72,0.962,0.03,0.006
"hsa04933_AGE-RAGE_signaling_pathway_in_diabetic_complications",4.3,0.869,0.011,0.006
"hsa05222_Small_cell_lung_cancer",3.11,0.978,0.025,0.007
"hsa01521_EGFR_tyrosine_kinase_inhibitor_resistance",2,-1.11,0.074,0.012
"hsa00920_Sulfur_metabolism",4.16,4.3,0.026,0.016
"hsa04510_Focal_adhesion",4.08,1.83,0.02,0.016
"hsa03320_PPAR_signaling_pathway",3.79,3.62,0.019,0.02
"hsa04657_IL-17_signaling_pathway",3.56,1.71,0.043,0.021
"hsa04920_Adipocytokine_signaling_pathway",2.16,1.09,0.078,0.023
"hsa00051_Fructose_and_mannose_metabolism",3.01,2.94,0.035,0.023
"hsa05205_Proteoglycans_in_cancer",3.56,0.473,0.031,0.024
"hsa04071_Sphingolipid_signaling_pathway",1.34,-1.25,0.117,0.026
"hsa05207_Chemical_carcinogenesis",2.09,-0.829,0.081,0.026
"hsa00532_Glycosaminoglycan_biosynthesis",4.72,4.95,0.025,0.029
"hsa04512_ECM-receptor_interaction",4.65,4.24,0.019,0.03
"hsa05146_Amoebiasis",3.61,1.18,0.041,0.031
"hsa04151_PI3K-Akt_signaling_pathway",3.01,0.469,0.052,0.032
"hsa05144_Malaria",4.17,2.81,0.024,0.033
"hsa04668_TNF_signaling_pathway",3.06,0.35,0.073,0.035
"hsa05219_Bladder_cancer",2.21,0.159,0.082,0.043
"hsa04926_Relaxin_signaling_pathway",1.24,-2.52,0.23,0.054
"hsa04976_Bile_secretion",3.22,2.05,0.095,0.055
"hsa04611_Platelet_activation",1.77,-1.21,0.117,0.057
"hsa00040_Pentose_and_glucuronate_interconversions",3.82,3.55,0.088,0.061
"hsa05133_Pertussis",1.93,-0.433,0.119,0.064
"hsa00053_Ascorbate_and_aldarate_metabolism",3.24,2.83,0.084,0.064
"hsa00280_Valine,_leucine_and_isoleucine_degradation",2.78,2.67,0.071,0.064
"hsa05020_Prion_disease",1.81,-0.535,0.09,0.067
"hsa05323_Rheumatoid_arthritis",3.78,2.28,0.071,0.069
"hsa05120_Epithelial_cell_signaling_in_Helicobacter_pylori_infection",1.43,-0.207,0.14,0.07
"hsa05418_Fluid_shear_stress_and_atherosclerosis",1.59,-0.681,0.164,0.074
"hsa04066_HIF-1_signaling_pathway",1.96,-0.33,0.102,0.074
"hsa05204_Chemical_carcinogenesis",3.04,2.76,0.101,0.075
"hsa05417_Lipid_and_atherosclerosis",1.41,-2.11,0.2,0.079
"hsa05010_Alzheimer_disease",0.961,-1.6,0.14,0.085
"hsa05415_Diabetic_cardiomyopathy",2.74,0.469,0.097,0.087
"hsa05206_MicroRNAs_in_cancer",1.9,-0.146,0.125,0.093
"hsa00410_beta-Alanine_metabolism",2.48,2.33,0.093,0.097
"hsa04392_Hippo_signaling_pathway",2.3,2.41,0.091,0.098
"hsa04061_Viral_protein_interaction_with_cytokine_and_cytokine_receptor",3.4,2.88,0.085,0.098
"hsa00520_Amino_sugar_and_nucleotide_sugar_metabolism",2.25,2.3,0.099,0.1
"hsa04932_Non-alcoholic_fatty_liver_disease",2.07,-0.454,0.11,0.101
"hsa01522_Endocrine_resistance",0.709,-3.14,0.295,0.102
"hsa00640_Propanoate_metabolism",2.26,2.13,0.113,0.107
"hsa05165_Human_papillomavirus_infection",1.36,-0.953,0.256,0.108
"hsa05134_Legionellosis",1.95,0.581,0.116,0.118
"hsa00480_Glutathione_metabolism",2.26,2.26,0.131,0.119
"hsa05163_Human_cytomegalovirus_infection",0.31,-4.41,0.387,0.12
"hsa04666_Fc_gamma_R-mediated_phagocytosis",1.49,-0.186,0.165,0.121
"hsa05215_Prostate_cancer",0.739,-2.18,0.322,0.124
"hsa01240_Biosynthesis_of_cofactors",2.02,2.05,0.136,0.124
"hsa00010_Glycolysis_/_Gluconeogenesis",1.99,1.7,0.139,0.132
