"GSE19420.GENE.SET","GSE19420.MEAN.ABS.T0","GSE19420.PADOG0","GSE19420.P.MEAN.ABS.T","GSE19420.PVAL"
"hsa00410_beta-Alanine_metabolism",3.77,3.59,0.003,1e-05
"hsa05170_Human_immunodeficiency_virus_1_infection",3.17,-0.648,0.001,0.002
"hsa00120_Primary_bile_acid_biosynthesis",2.58,2.67,0.022,0.004
"hsa00340_Histidine_metabolism",2.58,2.52,0.026,0.005
"hsa00640_Propanoate_metabolism",3.42,3.32,0.014,0.005
"hsa04115_p53_signaling_pathway",3.44,2.48,0.021,0.007
"hsa04020_Calcium_signaling_pathway",2.43,0.346,0.011,0.007
"hsa01212_Fatty_acid_metabolism",3.02,2.97,0.032,0.008
"hsa00071_Fatty_acid_degradation",3.07,2.88,0.04,0.01
"hsa04068_FoxO_signaling_pathway",2.88,0.11,0.035,0.011
"hsa03320_PPAR_signaling_pathway",3.4,3.31,0.027,0.012
"hsa00380_Tryptophan_metabolism",1.88,1.73,0.037,0.014
"hsa04066_HIF-1_signaling_pathway",2.94,0.418,0.015,0.015
"hsa04146_Peroxisome",3.4,3.47,0.035,0.016
"hsa00770_Pantothenate_and_CoA_biosynthesis",2.24,2.22,0.066,0.023
"hsa01040_Biosynthesis_of_unsaturated_fatty_acids",2.25,2.23,0.052,0.024
"hsa04022_cGMP-PKG_signaling_pathway",2.03,-0.95,0.029,0.026
"hsa05218_Melanoma",2.77,-0.423,0.022,0.028
"hsa04218_Cellular_senescence",2.97,-0.235,0.031,0.029
"hsa00140_Steroid_hormone_biosynthesis",1.12,1.17,0.05,0.032
"hsa04114_Oocyte_meiosis",2.64,-0.137,0.031,0.036
"hsa05142_Chagas_disease",2.38,-0.947,0.083,0.037
"hsa05214_Glioma",2.64,-1.63,0.029,0.037
"hsa04912_GnRH_signaling_pathway",2.1,-2.25,0.05,0.039
"hsa05207_Chemical_carcinogenesis",1.9,-1.37,0.038,0.04
"hsa00592_alpha-Linolenic_acid_metabolism",1.43,1.07,0.059,0.041
"hsa03420_Nucleotide_excision_repair",2.14,2.2,0.093,0.049
"hsa04261_Adrenergic_signaling_in_cardiomyocytes",1.93,-0.867,0.094,0.05
"hsa04740_Olfactory_transduction",1.55,0.955,0.081,0.053
"hsa05211_Renal_cell_carcinoma",2.23,-0.409,0.071,0.053
"hsa05213_Endometrial_cancer",2.61,-1.06,0.035,0.055
"hsa00330_Arginine_and_proline_metabolism",1.95,1.9,0.117,0.056
"hsa04970_Salivary_secretion",1.41,-1.03,0.076,0.06
"hsa00280_Valine,_leucine_and_isoleucine_degradation",2.43,2.34,0.106,0.065
"hsa05169_Epstein-Barr_virus_infection",2.13,-0.707,0.1,0.066
"hsa04110_Cell_cycle",2.11,1.42,0.113,0.067
"hsa04713_Circadian_entrainment",1.82,-1.35,0.088,0.071
"hsa04923_Regulation_of_lipolysis_in_adipocytes",1.73,-0.86,0.074,0.071
"hsa00051_Fructose_and_mannose_metabolism",1.94,1.9,0.143,0.073
"hsa04724_Glutamatergic_synapse",1.86,-0.651,0.096,0.073
"hsa00270_Cysteine_and_methionine_metabolism",1.69,1.75,0.122,0.074
"hsa03010_Ribosome",3.66,3.99,0.122,0.076
"hsa04973_Carbohydrate_digestion_and_absorption",1.09,-0.566,0.147,0.078
"hsa00524_Neomycin,_kanamycin_and_gentamicin_biosynthesis",0.932,0.719,0.116,0.078
"hsa05171_Coronavirus_disease",3.04,1.13,0.095,0.079
"hsa05223_Non-small_cell_lung_cancer",2.5,-1.12,0.052,0.079
"hsa05033_Nicotine_addiction",1.13,0.857,0.116,0.082
"hsa05221_Acute_myeloid_leukemia",1.75,-1.16,0.102,0.082
"hsa04921_Oxytocin_signaling_pathway",2.03,-1.47,0.099,0.085
"hsa04810_Regulation_of_actin_cytoskeleton",2.31,0.53,0.098,0.085
"hsa04622_RIG-I-like_receptor_signaling_pathway",0.89,-0.833,0.132,0.09
"hsa05222_Small_cell_lung_cancer",1.95,-0.363,0.121,0.095
"hsa04666_Fc_gamma_R-mediated_phagocytosis",2.21,0.237,0.099,0.099
"hsa04928_Parathyroid_hormone_synthesis,_secretion_and_action",1.62,-1.33,0.111,0.107
"hsa04913_Ovarian_steroidogenesis",0.871,-0.821,0.11,0.111
"hsa05220_Chronic_myeloid_leukemia",2.18,-1.43,0.1,0.114
"hsa01200_Carbon_metabolism",1.58,1.45,0.176,0.116
"hsa00561_Glycerolipid_metabolism",0.81,0.827,0.166,0.117
"hsa01524_Platinum_drug_resistance",1.87,-0.281,0.113,0.118
"hsa04270_Vascular_smooth_muscle_contraction",1.47,-1.35,0.098,0.121
"hsa05146_Amoebiasis",1.88,-0.108,0.229,0.126
"hsa00620_Pyruvate_metabolism",1.31,1.17,0.197,0.126
"hsa00250_Alanine,_aspartate_and_glutamate_metabolism",1.31,1.37,0.196,0.126
"hsa05212_Pancreatic_cancer",2.17,-1.58,0.091,0.132
"hsa05161_Hepatitis_B",1.43,-2.46,0.184,0.135
"hsa04640_Hematopoietic_cell_lineage",1.45,0.893,0.208,0.14
"hsa04730_Long-term_depression",1.51,-0.919,0.236,0.145
"hsa04216_Ferroptosis",1.66,1.48,0.207,0.145
"hsa04910_Insulin_signaling_pathway",1.74,-0.899,0.189,0.146
"hsa05204_Chemical_carcinogenesis",0.488,0.385,0.223,0.148
"hsa05230_Central_carbon_metabolism_in_cancer",1.33,-0.934,0.106,0.153
"hsa04972_Pancreatic_secretion",0.718,-1.08,0.16,0.162
"hsa00260_Glycine,_serine_and_threonine_metabolism",1.6,1.62,0.231,0.163
"hsa04012_ErbB_signaling_pathway",1.79,-1.56,0.179,0.176
"hsa00010_Glycolysis_/_Gluconeogenesis",1.35,1.09,0.244,0.177
"hsa04210_Apoptosis",1.63,-1.23,0.184,0.177
"hsa05160_Hepatitis_C",1.61,-1.69,0.14,0.18
"hsa04370_VEGF_signaling_pathway",1.61,-1.78,0.169,0.181
"hsa01522_Endocrine_resistance",1.76,-2.55,0.124,0.182
"hsa04914_Progesterone-mediated_oocyte_maturation",1.75,-1.29,0.137,0.186
"hsa04924_Renin_secretion",1.26,-1.21,0.216,0.2
"hsa04725_Cholinergic_synapse",0.979,-2.48,0.208,0.205
"hsa04623_Cytosolic_DNA-sensing_pathway",0.626,-0.419,0.253,0.21
"hsa04979_Cholesterol_metabolism",-0.118,-0.0785,0.242,0.218
"hsa04612_Antigen_processing_and_presentation",0.766,0.125,0.272,0.227
"hsa00240_Pyrimidine_metabolism",1.04,1.17,0.315,0.232
"hsa04960_Aldosterone-regulated_sodium_reabsorption",1.34,-0.636,0.197,0.233
"hsa04072_Phospholipase_D_signaling_pathway",1.61,-1.24,0.208,0.236
"hsa05226_Gastric_cancer",1.61,-1.15,0.255,0.244
"hsa05144_Malaria",1.22,0.543,0.362,0.247
"hsa05152_Tuberculosis",1.6,-1.29,0.254,0.252
"hsa04721_Synaptic_vesicle_cycle",0.962,0.943,0.35,0.255
"hsa04658_Th1_and_Th2_cell_differentiation",1.34,-0.719,0.312,0.257
"hsa04371_Apelin_signaling_pathway",0.943,-1.96,0.272,0.257
"hsa00480_Glutathione_metabolism",0.864,0.836,0.338,0.258
"hsa04024_cAMP_signaling_pathway",1.13,-2.07,0.17,0.258
"hsa04070_Phosphatidylinositol_signaling_system",1.01,-0.712,0.256,0.263
"hsa04215_Apoptosis",0.872,-0.118,0.407,0.268
"hsa05202_Transcriptional_misregulation_in_cancer",0.892,0.274,0.3,0.27
"hsa00520_Amino_sugar_and_nucleotide_sugar_metabolism",0.629,0.694,0.326,0.271
"hsa05216_Thyroid_cancer",1.38,-0.498,0.286,0.274
"hsa04014_Ras_signaling_pathway",1.31,-1.56,0.253,0.274
"hsa04510_Focal_adhesion",1.46,-0.89,0.29,0.277
"hsa05414_Dilated_cardiomyopathy",1.01,-0.539,0.297,0.286
"hsa04260_Cardiac_muscle_contraction",0.807,0.367,0.352,0.288
"hsa04620_Toll-like_receptor_signaling_pathway",1.29,-1.82,0.265,0.29
"hsa04010_MAPK_signaling_pathway",1.32,-1.22,0.338,0.292
"hsa05219_Bladder_cancer",1.27,-0.984,0.242,0.293
"hsa03050_Proteasome",1.01,0.8,0.361,0.296
"hsa02010_ABC_transporters",0.284,0.426,0.356,0.299
"hsa04015_Rap1_signaling_pathway",1.65,-1.54,0.266,0.299
"hsa05210_Colorectal_cancer",1.5,-2.13,0.259,0.312
"hsa04977_Vitamin_digestion_and_absorption",0.433,0.525,0.371,0.319
"hsa04917_Prolactin_signaling_pathway",0.542,-2.35,0.318,0.325
"hsa04927_Cortisol_synthesis_and_secretion",0.594,-1.64,0.384,0.327
"hsa05143_African_trypanosomiasis",0.621,-0.545,0.529,0.331
"hsa04911_Insulin_secretion",0.144,-2.09,0.351,0.331
"hsa00531_Glycosaminoglycan_degradation",0.559,0.633,0.402,0.335
"hsa04971_Gastric_acid_secretion",1.12,-1.85,0.308,0.34
"hsa03430_Mismatch_repair",0.788,0.83,0.422,0.343
"hsa00591_Linoleic_acid_metabolism",0.236,-0.0658,0.364,0.343
"hsa00760_Nicotinate_and_nicotinamide_metabolism",0.942,1.05,0.412,0.348
"hsa04727_GABAergic_synapse",-0.357,-1.96,0.31,0.351
"hsa00220_Arginine_biosynthesis",0.203,0.0841,0.401,0.355
"hsa04350_TGF-beta_signaling_pathway",1.18,0.523,0.399,0.357
"hsa05131_Shigellosis",0.827,-1.62,0.384,0.362
"hsa05203_Viral_carcinogenesis",1.08,-1.02,0.388,0.366
"hsa05031_Amphetamine_addiction",0.695,-1.81,0.385,0.366
"hsa04120_Ubiquitin_mediated_proteolysis",1,1.1,0.451,0.369
"hsa05410_Hypertrophic_cardiomyopathy",0.578,-0.0827,0.443,0.369
"hsa04659_Th17_cell_differentiation",1.06,-1.06,0.461,0.37
"hsa05224_Breast_cancer",1.29,-1.47,0.336,0.377
"hsa04512_ECM-receptor_interaction",0.81,0.618,0.439,0.378
"hsa04080_Neuroactive_ligand-receptor_interaction",-1.09,-0.973,0.353,0.382
"hsa05168_Herpes_simplex_virus_1_infection",0.636,-0.435,0.408,0.384
