Terms,Single-Species
hsa00010_Glycolysis_/_Gluconeogenesis,0.18367 
hsa00020_Citrate_cycle_(TCA_cycle),0.96111 
hsa00030_Pentose_phosphate_pathway,0.32082 
hsa00040_Pentose_and_glucuronate_interconversions,0.85239 
hsa00051_Fructose_and_mannose_metabolism,0.80555 
hsa00052_Galactose_metabolism,0.35718 
hsa00053_Ascorbate_and_aldarate_metabolism,0.63986 
hsa00061_Fatty_acid_biosynthesis,0.29002 
hsa00062_Fatty_acid_elongation,0.28708 
hsa00071_Fatty_acid_degradation,0.01860 
hsa00072_Synthesis_and_degradation_of_ketone_bodies,0.65976 
hsa00100_Steroid_biosynthesis,0.99908 
hsa00120_Primary_bile_acid_biosynthesis,0.99863 
hsa00130_Ubiquinone_and_other_terpenoid-quinone_biosynthesis,0.61603 
hsa00140_Steroid_hormone_biosynthesis,0.00592 
hsa00190_Oxidative_phosphorylation,0.99951 
hsa00220_Arginine_biosynthesis,0.62997 
hsa00230_Purine_metabolism,1.00000 
hsa00232_Caffeine_metabolism,0.60915 
hsa00240_Pyrimidine_metabolism,0.87792 
"hsa00250_Alanine,_aspartate_and_glutamate_metabolism",0.99866 
"hsa00260_Glycine,_serine_and_threonine_metabolism",0.96189 
hsa00270_Cysteine_and_methionine_metabolism,0.01129 
"hsa00280_Valine,_leucine_and_isoleucine_degradation",1.00000 
hsa00310_Lysine_degradation,0.99957 
hsa00330_Arginine_and_proline_metabolism,0.03752 
hsa00340_Histidine_metabolism,0.46160 
hsa00350_Tyrosine_metabolism,0.00017 
hsa00360_Phenylalanine_metabolism,0.02346 
hsa00380_Tryptophan_metabolism,0.66681 
"hsa00400_Phenylalanine,_tyrosine_and_tryptophan_biosynthesis",0.60266 
hsa00410_beta-Alanine_metabolism,0.72631 
hsa00430_Taurine_and_hypotaurine_metabolism,0.97443 
hsa00440_Phosphonate_and_phosphinate_metabolism,0.63673 
hsa00450_Selenocompound_metabolism,0.42049 
hsa00471_D-Glutamine_and_D-glutamate_metabolism,0.19440 
hsa00480_Glutathione_metabolism,1.00000 
hsa00500_Starch_and_sucrose_metabolism,0.98212 
hsa00510_N-Glycan_biosynthesis,0.99690 
hsa00511_Other_glycan_degradation,0.19770 
hsa00512_Mucin_type_O-glycan_biosynthesis,0.24135 
hsa00513_Various_types_of_N-glycan_biosynthesis,0.99519 
hsa00514_Other_types_of_O-glycan_biosynthesis,0.98780 
hsa00515_Mannose_type_O-glycan_biosynthesis,0.00373 
hsa00520_Amino_sugar_and_nucleotide_sugar_metabolism,0.97308 
"hsa00524_Neomycin,_kanamycin_and_gentamicin_biosynthesis",0.63655 
hsa00531_Glycosaminoglycan_degradation,0.29969 
hsa00532_Glycosaminoglycan_biosynthesis,1.00000 
hsa00533_Glycosaminoglycan_biosynthesis,0.03246 
hsa00534_Glycosaminoglycan_biosynthesis,0.00156 
hsa00561_Glycerolipid_metabolism,0.84204 
hsa00562_Inositol_phosphate_metabolism,1.00000 
hsa00563_Glycosylphosphatidylinositol_(GPI)-anchor_biosynthesis,1.00000 
