"GSE16759.GENE.SET","GSE16759.MEAN.ABS.T0","GSE16759.PADOG0","GSE16759.P.MEAN.ABS.T","GSE16759.PVAL"
"hsa04211_Longevity_regulating_pathway",1.74,-1.01,0.0435,0.000145
"hsa00020_Citrate_cycle_(TCA_cycle)",3.9,3.74,0.029,0.000145
"hsa04141_Protein_processing_in_endoplasmic_reticulum",6.6,6.42,0.000145,0.000145
"hsa03060_Protein_export",3.55,3.66,0.000145,0.000145
"hsa05134_Legionellosis",3.87,2.9,0.0435,0.0145
"hsa03460_Fanconi_anemia_pathway",1.29,1.46,0.0435,0.0145
"hsa04213_Longevity_regulating_pathway",1.99,-0.699,0.0145,0.0145
"hsa04612_Antigen_processing_and_presentation",4.78,3.84,0.000145,0.0145
"hsa03018_RNA_degradation",2.48,2.68,0.058,0.029
"hsa03040_Spliceosome",4.94,5.18,0.029,0.029
"hsa01200_Carbon_metabolism",3.89,3.72,0.029,0.029
"hsa04137_Mitophagy",1.89,0.89,0.029,0.029
"hsa04144_Endocytosis",3.34,3.09,0.000145,0.029
"hsa04915_Estrogen_signaling_pathway",1.71,-2.02,0.13,0.0435
"hsa03015_mRNA_surveillance_pathway",3.83,3.83,0.0435,0.0435
"hsa00770_Pantothenate_and_CoA_biosynthesis",2.22,2.22,0.0145,0.0435
"hsa05132_Salmonella_infection",3.11,1.13,0.0145,0.0435
"hsa01522_Endocrine_resistance",1.08,-2.91,0.145,0.058
"hsa00620_Pyruvate_metabolism",1.99,1.86,0.116,0.058
"hsa04977_Vitamin_digestion_and_absorption",1.64,1.72,0.087,0.058
"hsa04710_Circadian_rhythm",1.53,1.21,0.087,0.058
"hsa05131_Shigellosis",2.61,0.134,0.087,0.058
"hsa00563_Glycosylphosphatidylinositol_(GPI)-anchor_biosynthesis",2.46,2.65,0.058,0.058
"hsa05323_Rheumatoid_arthritis",2.43,1.23,0.145,0.0725
"hsa04927_Cortisol_synthesis_and_secretion",0.914,-1.56,0.0725,0.0725
"hsa00640_Propanoate_metabolism",4,3.9,0.087,0.087
"hsa04066_HIF-1_signaling_pathway",1.46,-0.742,0.087,0.087
"hsa05213_Endometrial_cancer",1.76,-1.66,0.000145,0.087
"hsa04962_Vasopressin-regulated_water_reabsorption",1,-0.0704,0.159,0.101
"hsa04218_Cellular_senescence",1.36,-1.67,0.159,0.101
"hsa03410_Base_excision_repair",1.95,2.08,0.101,0.101
"hsa04152_AMPK_signaling_pathway",1.44,0.037,0.101,0.101
"hsa05235_PD-L1_expression_and_PD-1_checkpoint_pathway_in_cancer",0.873,-2.25,0.174,0.116
"hsa00630_Glyoxylate_and_dicarboxylate_metabolism",1.75,1.69,0.116,0.116
"hsa05166_Human_T-cell_leukemia_virus_1_infection",1.92,-1.48,0.116,0.116
"hsa04370_VEGF_signaling_pathway",1.76,-1.75,0.087,0.116
"hsa04932_Non-alcoholic_fatty_liver_disease",3.41,1.19,0.159,0.13
"hsa04714_Thermogenesis",3.9,2.24,0.101,0.13
